name,price,category,designer,sellable_online,depth,height,width,short_description
STIG,69.0,Bar furniture,Henrik Preutz,True,50.0,100.0,60.0,"        Bar stool with backrest,          74 cm"
NORBERG,225.0,Bar furniture,Marcus Arvonen,True,60.0,43.0,74.0,"        Wall-mounted drop-leaf table,          74x60 cm"
INGOLF,345.0,Bar furniture,Carina Bengs,True,45.0,91.0,40.0,"        Bar stool with backrest,          63 cm"
FRANKLIN,129.0,Bar furniture,K Hagberg/M Hagberg,True,44.0,95.0,50.0,"        Bar stool with backrest, foldable,          63 cm"
FRANKLIN,129.0,Bar furniture,K Hagberg/M Hagberg,True,44.0,95.0,50.0,"        Bar stool with backrest, foldable,          63 cm"
FRANKLIN,149.0,Bar furniture,K Hagberg/M Hagberg,True,44.0,103.0,52.0,"        Bar stool with backrest, foldable,          74 cm"
INGOLF,395.0,Bar furniture,Carina Bengs,True,45.0,102.0,40.0,"        Bar stool with backrest,          74 cm"
NORRARYD,395.0,Bar furniture,Nike Karlsson,True,47.0,103.0,46.0,"        Bar stool with backrest,          74 cm"
FREKVENS,177.0,Bar furniture,Nicholai Wiig Hansen,True,53.0,104.0,43.0,"        Bar stool with backrest, in/outdoor,          74 cm"
EKEDALEN,345.0,Bar furniture,Ehlén Johansson,True,52.0,114.0,43.0,"        Bar stool with backrest,          75 cm"
HENRIKSDAL,395.0,Bar furniture,Karl Malmvall,True,51.0,102.0,40.0,"        Bar stool with backrest frame,          74 cm"
JANINGE,595.0,Bar furniture,John/Jonas/Petrus/Paul/Caroline,True,36.0,84.0,38.0,"        Bar stool,          76 cm"
FRANKLIN,149.0,Bar furniture,K Hagberg/M Hagberg,True,44.0,103.0,52.0,"        Bar stool with backrest, foldable,          74 cm"
RÅSKOG,175.0,Bar furniture,Nike Karlsson,True,44.0,63.0,44.0,"        Bar stool,          63 cm"
JANINGE,595.0,Bar furniture,John/Jonas/Petrus/Paul/Caroline,True,36.0,84.0,38.0,"        Bar stool,          76 cm"
EKEDALEN,345.0,Bar furniture,Ehlén Johansson,True,51.0,114.0,43.0,"        Bar stool with backrest,          75 cm"
EKEDALEN,345.0,Bar furniture,Ehlén Johansson,True,52.0,114.0,43.0,"        Bar stool with backrest,          75 cm"
HENRIKSDAL,695.0,Bar furniture,Karl Malmvall,True,51.0,102.0,40.0,"        Bar stool with backrest,          74 cm"
HENRIKSDAL,435.0,Bar furniture,IKEA of Sweden/Karl Malmvall,True,51.0,102.0,40.0,"        Bar stool with backrest,          74 cm"
NORRÅKER,395.0,Bar furniture,J Karlsson/N Karlsson,True,48.0,100.0,42.0,"        Bar stool with backrest,          74 cm"
NORDVIKEN,275.0,Bar furniture,Francis Cayouette,False,47.0,101.0,40.0,"        Bar stool with backrest,          75 cm"
BERNHARD,745.0,Bar furniture,Ola Wihlborg,True,50.0,90.0,48.0,"        Bar stool with backrest,          66 cm"
GLENN,445.0,Bar furniture,Marcus Arvonen,True,52.0,100.0,50.0,"        Bar stool,          77 cm"
RÅSKOG,175.0,Bar furniture,Nike Karlsson,True,44.0,63.0,44.0,"        Bar stool,          63 cm"
BRIMNES,895.0,Beds,IKEA of Sweden/K Hagberg/M Hagberg,True,54.0,110.0,96.0,"        Bed frame w storage and headboard,          90x200 cm"
PLATSA,2111.0,Beds,Ola Wihlborg/IKEA of Sweden,True,40.0,43.0,140.0,"        Bed frame with 4 drawers,          140x244x163 cm"
BRIMNES,575.0,Beds,K Hagberg/M Hagberg,True,54.0,47.0,96.0,"        Bed frame with storage,          90x200 cm"
MALM,920.0,Beds,IKEA of Sweden/Eva Lilja Löwenhielm,True,59.0,15.0,196.0,"        Bed frame, high, w 2 storage boxes,          180x200 cm"
BRIMNES,575.0,Beds,K Hagberg/M Hagberg/IKEA of Sweden,True,54.0,20.0,146.0,"        Bed frame with storage,          140x200 cm"
HEMNES,1495.0,Beds,Carina Bengs,True,70.0,18.0,89.0,"        Day-bed frame with 3 drawers,          80x200 cm"
